id,category,label
3779,event,共读西厢
3780,event,林如海捐馆扬州城
3781,event,海棠诗社
3782,event,紫鹃试玉
3783,event,魇魔姊弟
3784,event,羞笼红麝串
3785,event,麒麟伏双星
3786,event,纳鸳鸯
3787,event,撵晴雯
3788,event,偷娶尤二姐
3789,event,软语救贾琏
3790,event,大闹学堂
3791,event,拐卖巧姐
3792,event,乱判葫芦案
3793,event,毒设相思局
3794,event,情赠茜香罗
3795,event,勇救薛蟠
3796,event,倪二轻财尚义
3797,event,神游太虚幻境
3798,event,借剑杀人
3799,event,平儿失镯
3800,event,平儿行权
3801,event,司棋被捉
3802,event,巧结梅花络
3803,event,亲尝莲叶羹
3804,event,宝玉挨打
3805,event,大闹厨房
3806,event,香菱学诗
3807,event,凤姐托孤
3808,event,旺儿妇霸成亲
3809,event,弄权铁槛寺
3810,event,智能偷情
3811,event,勾引薛蝌
3812,event,贾政借钱
3813,event,探春远嫁
3814,event,刘姥姥一进荣国府
3815,event,黛玉葬花
3816,event,宝钗扑蝶
3817,event,金钏投井
3818,event,大观园试才
3819,event,秦可卿淫丧天香楼
3820,event,迎春误嫁中山狼
3821,event,金玉良缘
3822,event,王熙凤协理宁国府
3823,event,元妃省亲
3824,event,甄士隐梦幻识通灵
3825,event,晴雯撕扇
3826,event,凤姐泼醋
3827,event,探春理家
3828,event,湘云醉眠芍药裀
3829,event,尤三姐殉情
3830,event,抄检大观园
3831,event,黛玉焚稿
3832,event,黛玉之死
3833,event,晴雯补裘
3834,event,元宵丢英莲
3835,event,冷子兴演说荣国府
3836,event,木石前盟
3837,event,贤袭人娇嗔箴宝玉
3838,location,潇湘馆
3839,location,蘅芜苑
3840,location,暖香坞
3841,location,缀锦楼
3842,location,稻香村
3843,location,凤藻宫
3844,location,秋爽斋
3845,location,怡红院
3846,location,栊翠庵
3847,location,梨香院
3848,location,荣国府
3849,location,宁国府
3850,location,苏州
3851,location,大观园
3852,location,玄真观
3853,location,京郊
3854,location,扬州
3855,location,金陵
3856,location,京城
3857,location,胡州
3858,location,葫芦庙
3859,location,南海
3860,location,太虚幻境
3861,location,大同府
3862,location,阊门
3863,person,贾宝玉
3864,person,贾代善
3865,person,贾代化
3866,person,贾敷
3867,person,贾敬
3868,person,贾赦
3869,person,贾政
3870,person,贾蓉
3871,person,贾蔷
3872,person,贾兰
3873,person,贾珍
3874,person,贾琏
3875,person,贾琮
3876,person,贾珠
3877,person,贾环
3878,person,贾璜
3879,person,贾演
3880,person,贾源
3881,person,秦钟
3882,person,王子腾
3883,person,王公之子
3884,person,王仁
3885,person,薛蟠
3886,person,薛蝌
3887,person,史鼐
3888,person,史鼎
3889,person,史侯之子
3890,person,柳湘莲
3891,person,贾雨村
3892,person,贾瑞
3893,person,蒋玉菡
3894,person,贾芸
3895,person,倪二
3896,person,林如海
3897,person,焦大
3898,person,秦业
3899,person,王公
3900,person,贾代儒之子
3901,person,薛公之孙
3902,person,史侯
3903,person,甄士隐
3904,person,邢忠
3905,person,板儿
3906,person,孙绍祖
3907,person,李贵
3908,person,赵天梁
3909,person,赵天栋
3910,person,贾代儒
3911,person,赖大
3912,person,赵国基
3913,person,吴贵
3914,person,花自芳
3915,person,王成之父
3916,person,王成
3917,person,狗儿
3918,person,周瑞
3919,person,林之孝
3920,person,鲍二
3921,person,金文翔
3922,person,香怜
3923,person,贾菌
3924,person,贾蓝
3925,person,金荣
3926,person,茗烟
3927,person,潘又安
3929,person,贾芹
3930,person,玉爱
3931,person,来升
3932,person,俞禄
3933,person,杏奴
3934,person,赖尚荣
3935,person,金彩
3936,person,邢德全
3937,person,隆儿
3938,person,兴儿
3939,person,王善保
3940,person,冷子兴
3941,person,卜世仁
3942,person,冯紫英
3943,person,凤姐之父
3944,person,史湘云之父
3945,person,卫若兰
3946,person,梅翰林之子
3947,person,吴兴登
3948,person,旺儿
3949,person,封肃
3950,person,李纨之哥
3951,person,小沙弥
3952,person,皇上
3953,person,薛姨父
3954,person,北静王
3955,location,应天府
3956,person,喜儿
3957,person,寿儿
3958,person,钱槐
3959,person,乌进孝
3960,person,南安郡王
3961,person,冯渊
3962,person,李守中
3963,person,单聘仁
3964,person,程日兴
3965,person,詹光
3967,person,昭儿
3968,person,癞头和尚
3969,person,跛足道人
3970,person,霍启
3971,person,旺儿之子
3972,person,神瑛侍者
4037,person,林黛玉
4038,person,薛宝钗
4039,person,贾巧姐
4040,person,贾惜春
4041,person,王熙凤
4042,person,贾迎春
4043,person,李纨
4044,person,贾元春
4045,person,贾探春
4046,person,邢夫人
4047,person,赵姨娘
4048,person,贾敏
4049,person,贾母
4050,person,妙玉
4051,person,王夫人
4052,person,史湘云
4053,person,秦可卿
4054,person,晴雯 
4055,person,袭人
4056,person,平儿
4057,person,鸳鸯
4058,person,紫鹃
4059,person,莺儿
4060,person,玉钏
4061,person,金钏
4062,person,彩云
4063,person,司棋
4064,person,芳官
4065,person,麝月
4066,person,香菱
4067,person,抱琴
4068,person,宝蟾
4069,person,雪燕
4070,person,春纤
4071,person,文杏
4072,person,碧月
4073,person,琥珀
4074,person,翠墨
4075,person,薛姨妈
4076,person,夏金桂
4077,person,薛宝琴
4078,person,邢岫烟
4079,person,尤氏
4080,person,尤二姐
4081,person,尤三姐
4082,person,刘姥姥
4083,person,刘氏
4084,person,同喜
4085,person,小红
4086,person,鲍二家的
4087,person,瑞珠
4088,person,藕官
4089,person,蕊官
4090,person,入画
4091,person,彩屏
4092,person,彩儿
4093,person,丰儿
4094,person,绣橘
4095,person,侍书
4096,person,小鹊
4097,person,翠缕
4098,person,榛儿
4099,person,小螺
4100,person,篆儿
4101,person,茄官
4102,person,善姐
4103,person,素云
4104,person,小吉祥儿
4105,person,葵官
4106,person,宝珠
4107,person,同贵
4108,person,炒豆儿
4109,person,银蝶
4110,person,小舍儿
4111,person,艾官
4112,person,文官
4113,person,彩霞
4114,person,娇红
4115,person,秋桐
4116,person,小吉祥
4117,person,娇杏
4118,person,菂官
4119,person,旺儿媳妇
4120,person,王嬷嬷
4121,person,李嬷嬷
4122,person,多姑娘
4123,person,赖大家的
4124,person,吴兴登家的
4125,person,王善保家的
4126,person,柳嫂子
4127,person,李纹
4128,person,李绮
4129,person,李婶娘
4130,person,青儿
4131,person,周瑞家的
4132,person,林之孝家的
4133,person,柳五儿
4134,person,秦显家的
4135,person,莲花儿
4136,person,金氏
4138,person,五嫂子
4139,person,来升媳妇
4140,person,龄官
4141,person,封氏
4142,person,赖嬷嬷
4143,person,周姨娘
4144,person,翠云
4145,person,嫣红
4146,person,坠儿
4147,person,智能儿
4148,person,净虚
4149,person,万儿
4150,person,司棋母
4151,person,白大娘
4152,person,尤老娘
4153,person,周奶奶
4154,person,豆官
4155,person,文花
4156,person,赵嬷嬷
4157,person,娄氏
4158,person,老叶妈
4160,person,周氏
4161,person,佩凤
4162,person,代儒夫人
4163,person,春燕
4164,person,何婆子
4165,person,碧痕
4166,person,笑儿
4167,person,警幻仙姑
4168,person,马道婆
4169,person,南安太妃
4170,person,夏婆子
4171,person,费婆子
4172,person,周瑞之女
4173,person,绛珠仙子
